version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,moves_correct_form_last10,grammatical_moves_last16_idealised,grammatical_moves_last10_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_last10_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
HighFraming,english,several-times-a-week,True,True,True,2,2,4,2,2,2,1,2,2,2,5,nobug,,3.142857142857143,3.25,31,31,24,0.7741935483870968,0.7,0.7741935483870968,16,10,14,9,0.875,0.9,0.875,10.924825806452384,15.483870967741936
HighFraming,english,several-times-a-week,True,True,True,4,5,2,1,5,4,4,6,6,5,2,nobug,,3.4285714285714284,4.25,26,25,20,0.7692307692307693,0.75,0.8,15,9,12,8,0.75,0.8,0.8,12.040096153827815,18.46153846153846
HighFraming,english,almost-never,True,True,True,4,4,1,1,3,4,4,5,5,5,1,nobug,,3.0,3.75,20,19,18,0.9,0.9,0.9473684210526315,15,9,14,9,0.875,0.9,0.9333333333333333,16.534434999997917,24.0
HighFraming,english,every-day,True,True,True,3,3,3,2,3,2,2,4,4,3,4,nobug,,3.142857142857143,3.5,22,21,20,0.9090909090909091,1.0,0.9523809523809523,15,9,14,8,0.875,0.8,0.9333333333333333,12.197068181818183,21.818181818181817
LowFraming,english,several-times-a-week,True,True,True,4,5,3,5,5,4,5,5,5,5,6,bug,This app was very interesting  and useful. I enjoy it.,3.857142857142857,3.5,4,3,0,0.0,0.0,0.0,3,3,0,0,0.0,0.0,0.0,22.50475,120.0
LowFraming,english,almost-never,True,True,True,4,4,2,3,3,3,2,5,5,5,2,nobug,,3.2857142857142856,3.5,14,14,0,0.0,0.0,0.0,14,10,0,0,0.0,0.0,0.0,21.265692857146263,34.285714285714285
LowFraming,english,almost-never,True,True,True,5,5,1,1,4,4,2,6,6,6,1,nobug,,3.5714285714285716,4.25,12,12,2,0.16666666666666666,0.1,0.16666666666666666,12,10,2,2,0.125,0.2,0.16666666666666666,22.37430833333234,40.0
LowFraming,english,every-day,True,True,True,3,3,2,1,3,3,3,6,6,6,1,nobug,,3.142857142857143,3.5,30,26,8,0.26666666666666666,0.2,0.3076923076923077,15,10,5,4,0.3125,0.4,0.3333333333333333,10.4253899999996,16.0
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,5,1,nobug,,3.2857142857142856,4.25,18,17,1,0.05555555555555555,0.05,0.058823529411764705,15,10,1,1,0.0625,0.1,0.06666666666666667,14.571744444436497,26.666666666666668
LowFraming,english,about-once-a-week,True,True,True,4,3,2,1,5,4,3,1,6,3,5,nobug,,4.428571428571429,3.75,20,20,10,0.5,0.5,0.5,16,10,8,5,0.5,0.5,0.5,14.267220000000005,24.0
LowFraming,english,every-day,True,True,True,5,4,1,1,4,4,3,5,5,3,4,nobug,"None encountered, great survey.",3.4285714285714284,4.0,45,39,27,0.6,0.5,0.6923076923076923,14,9,12,8,0.75,0.8,0.8571428571428571,7.236560000001059,10.666666666666666
LowFraming,english,almost-never,True,True,True,3,3,1,1,3,3,2,6,6,6,2,nobug,,3.4285714285714284,3.25,17,17,0,0.0,0.0,0.0,16,10,0,0,0.0,0.0,0.0,16.58308823532217,28.235294117647058
LowFraming,english,almost-never,True,True,True,4,4,1,1,3,4,3,6,6,6,1,nobug,,3.2857142857142856,3.75,29,27,1,0.034482758620689655,0.05,0.037037037037037035,14,8,0,0,0.0,0.0,0.0,11.238503448275658,16.551724137931036
LowFraming,english,every-day,True,True,True,1,3,5,3,1,3,1,6,1,6,1,nobug,,2.4285714285714284,3.25,5,5,0,0.0,0.0,0.0,5,5,0,0,0.0,0.0,0.0,28.61832000000477,96.0
LowFraming,english,every-day,True,True,True,3,4,2,3,3,4,2,5,5,5,2,nobug,,3.4285714285714284,3.25,34,30,11,0.3235294117647059,0.25,0.36666666666666664,14,10,6,5,0.375,0.5,0.42857142857142855,9.877639558827093,14.117647058823529
